,agemid,low95,median,up95,,,,,
1,42,3.08E-05,0.000477399,0.001544466,,0.00,0.01,0.05,(prop exposed per month)
2,47,3.08E-05,0.000477399,0.001544466,,,,,
3,53,3.08E-05,0.000477399,0.001544466,,,,,
4,59,3.08E-05,0.000477399,0.001544466,,,,,
5,85,3.08E-05,0.000477399,0.001544466,,,,,
6,96,3.08E-05,0.000477399,0.001544466,,,,,
7,97,3.08E-05,0.000477399,0.001544466,,,,,
8,109,3.08E-05,0.000477399,0.001544466,,,,,
9,140,3.08E-05,0.000477399,0.001544466,,,,,
10,146,3.08E-05,0.000477399,0.001544466,,,,,
11,157,3.08E-05,0.000477399,0.001544466,,,,,
12,159,3.08E-05,0.000477399,0.001544466,,,,,
13,205,3.08E-05,0.000477399,0.001544466,,,,,
14,214,3.08E-05,0.000477399,0.001544466,,,,,
15,216,3.08E-05,0.000477399,0.001544466,,,,,
16,224,3.08E-05,0.000477399,0.001544466,,,,,
17,256,3.08E-05,0.000477399,0.001544466,,,,,
18,266,3.08E-05,0.000477399,0.001544466,,,,,
19,271,3.08E-05,0.000477399,0.001544466,,,,,
20,276,3.08E-05,0.000477399,0.001544466,,,,,
21,328,3.08E-05,0.000477399,0.001544466,,,,,
22,336,3.08E-05,0.000477399,0.001544466,,,,,
23,338,3.08E-05,0.000477399,0.001544466,,,,,
24,340,3.08E-05,0.000477399,0.001544466,,,,,
25,364,3.08E-05,0.000477399,0.001544466,,,,,
26,374,3.08E-05,0.000477399,0.001544466,,,,,
27,375,3.08E-05,0.000477399,0.001544466,,,,,
28,382,3.08E-05,0.000477399,0.001544466,,,,,
29,432,3.08E-05,0.000477399,0.001544466,,,,,
30,444,3.08E-05,0.000477399,0.001544466,,,,,
31,453,3.08E-05,0.000477399,0.001544466,,,,,
32,464,3.08E-05,0.000477399,0.001544466,,,,,
33,510,3.08E-05,0.000477399,0.001544466,,,,,
34,513,3.08E-05,0.000477399,0.001544466,,,,,
35,528,3.08E-05,0.000477399,0.001544466,,,,,
36,565,3.08E-05,0.000477399,0.001544466,,,,,
37,580,3.08E-05,0.000477399,0.001544466,,,,,
38,581,3.08E-05,0.000477399,0.001544466,,,,,
39,587,3.08E-05,0.000477399,0.001544466,,,,,
40,628,3.08E-05,0.000477399,0.001544466,,,,,
41,629,3.08E-05,0.000477399,0.001544466,,,,,
42,639,3.08E-05,0.000477399,0.001544466,,,,,
43,644,3.08E-05,0.000477399,0.001544466,,,,,
44,680,3.08E-05,0.000477399,0.001544466,,,,,
45,686,3.08E-05,0.000477399,0.001544466,,,,,
46,699,3.08E-05,0.000477399,0.001544466,,,,,
47,715,3.08E-05,0.000477399,0.001544466,,,,,
48,768,3.08E-05,0.000477399,0.001544466,,,,,
49,780,3.08E-05,0.000477399,0.001544466,,,,,
50,786,3.08E-05,0.000477399,0.001544466,,,,,
51,850,3.08E-05,0.000477399,0.001544466,,,,,
52,980,3.08E-05,0.000477399,0.001544466,,,,,
53,997,3.08E-05,0.000477399,0.001544466,,,,,
54,1014,3.08E-05,0.000477399,0.001544466,,,,,
55,1052,3.08E-05,0.000477399,0.001544466,,,,,
56,1134,3.08E-05,0.000477399,0.001544466,,,,,
57,1176,3.08E-05,0.000477399,0.001544466,,,,,
58,1188,3.08E-05,0.000477399,0.001544466,,,,,
59,1226,3.08E-05,0.000477399,0.001544466,,,,,
60,1348,3.08E-05,0.000477399,0.001544466,,,,,
61,1356,3.08E-05,0.000477399,0.001544466,,,,,
62,1377,3.08E-05,0.000477399,0.001544466,,,,,
63,1389,3.08E-05,0.000477399,0.001544466,,,,,
64,1519,3.08E-05,0.000477399,0.001544466,,,,,
65,1526,3.08E-05,0.000477399,0.001544466,,,,,
66,1564,3.08E-05,0.000477399,0.001544466,,,,,
67,1592,3.08E-05,0.000477399,0.001544466,,,,,
68,1676,3.08E-05,0.000477399,0.001544466,,,,,
69,1721,3.08E-05,0.000477399,0.001544466,,,,,
70,1755,3.08E-05,0.000477399,0.001544466,,,,,
71,1806,3.08E-05,0.000477399,0.001544466,,,,,
72,1823,3.08E-05,0.000477399,0.001544466,,,,,
73,1841,3.08E-05,0.000477399,0.001544466,,,,,
74,1848,3.08E-05,0.000477399,0.001544466,,,,,
